participant_id,survey_source,topic,state,year,state_year_topic,perception,owner_party,own_013,cond1_z,cond2_z,condition_index_z,net_gub_approve_z,condition_1,condition_2,pid,gub_copartisan,owning_party_governor,copartisan_owned_governor,ideo3,white,black,male,bachelors,age_group,weight
kff16201035,kff16_aca,ACA,MS,2016,MS_2016_ACA,0,D,0,-0.476914606,0.985089136,0.345777376,0.838263678,enroll_pct_of_uninsured2010,premium,3,1,0,0,3,1,0,1,0,1,1.331881249
kff16201047,kff16_aca,ACA,NA,2016,NA_2016_ACA,1,D,NA,NA,NA,NA,NA,enroll_pct_of_uninsured2010,premium,1,NA,NA,NA,1,1,0,0,1,2,0.97051812
kff16201057,kff16_aca,ACA,LA,2016,LA_2016_ACA,0,D,2,0.014052687,0.300095475,0.213755945,-1.674739108,enroll_pct_of_uninsured2010,premium,3,0,1,0,3,1,0,0,0,1,1.765517005
kff16201061,kff16_aca,ACA,VT,2016,VT_2016_ACA,0,D,3,2.428913375,-0.764421701,1.132570663,NA,enroll_pct_of_uninsured2010,premium,3,0,1,0,3,1,0,1,1,NA,0.474934399
kff16201069,kff16_aca,ACA,ID,2016,ID_2016_ACA,1,D,0,0.7416814,0.93880578,1.143454491,NA,enroll_pct_of_uninsured2010,premium,1,0,0,0,1,0,1,1,0,1,1.889412935
kff16201074,kff16_aca,ACA,MA,2016,MA_2016_ACA,1,D,1,3.625959545,1.1887359,3.276064937,1.077930628,enroll_pct_of_uninsured2010,premium,1,0,0,0,2,1,0,1,0,2,0.660778294
kff16201078,kff16_aca,ACA,ID,2016,ID_2016_ACA,0,D,0,0.7416814,0.93880578,1.143454491,NA,enroll_pct_of_uninsured2010,premium,3,1,0,0,3,1,0,1,0,2,0.547207025
kff16201083,kff16_aca,ACA,ND,2016,ND_2016_ACA,1,D,0,0.49802742,0.51299891,0.687933006,2.210044529,enroll_pct_of_uninsured2010,premium,1,0,0,0,2,1,0,1,0,2,1.528049805
kff16201089,kff16_aca,ACA,IL,2016,IL_2016_ACA,1,D,1,-0.351439313,1.207249242,0.582319055,-1.085564372,enroll_pct_of_uninsured2010,premium,1,0,0,0,1,0,0,0,1,2,1.269933284
kff16201090,kff16_aca,ACA,RI,2016,RI_2016_ACA,0,D,3,0.044456211,1.133195873,0.801310227,-2.33550213,enroll_pct_of_uninsured2010,premium,1,1,1,1,1,1,0,1,0,2,1.620971753
kff16201093,kff16_aca,ACA,MA,2016,MA_2016_ACA,0,D,1,3.625959545,1.1887359,3.276064937,1.077930628,enroll_pct_of_uninsured2010,premium,3,1,0,0,2,1,0,0,1,3,0.268441182
kff16201095,kff16_aca,ACA,ID,2016,ID_2016_ACA,1,D,0,0.7416814,0.93880578,1.143454491,NA,enroll_pct_of_uninsured2010,premium,1,0,0,0,1,0,0,1,1,1,0.619479651
kff16201096,kff16_aca,ACA,MT,2016,MT_2016_ACA,1,D,2,0.567147151,0.587052279,0.785352329,0.91473824,enroll_pct_of_uninsured2010,premium,1,1,1,1,2,0,1,0,1,NA,0.640128973
kff16201102,kff16_aca,ACA,OR,2016,OR_2016_ACA,0,D,3,-0.325605362,1.031372491,0.480225379,-0.353127875,enroll_pct_of_uninsured2010,premium,3,0,1,0,3,1,0,0,1,2,1.063440067
kff16201109,kff16_aca,ACA,OK,2016,OK_2016_ACA,1,D,0,-0.448477351,0.735159016,0.195066908,NA,enroll_pct_of_uninsured2010,premium,3,1,0,0,2,1,0,0,0,2,2.002984204
kff16201113,kff16_aca,ACA,LA,2016,LA_2016_ACA,0,D,2,0.014052687,0.300095475,0.213755945,-1.674739108,enroll_pct_of_uninsured2010,premium,3,0,1,0,2,1,0,0,0,3,2.250776065
kff16201116,kff16_aca,ACA,ID,2016,ID_2016_ACA,0,D,0,0.7416814,0.93880578,1.143454491,NA,enroll_pct_of_uninsured2010,premium,2,0,0,0,2,1,0,1,1,1,0.991167441
kff16201121,kff16_aca,ACA,WV,2016,WV_2016_ACA,0,D,2,-0.97352458,0.244555448,-0.496012726,-0.117225286,enroll_pct_of_uninsured2010,premium,1,1,1,1,2,0,0,0,0,1,1.331881249
kff16201122,kff16_aca,ACA,NM,2016,NM_2016_ACA,1,D,1,-0.991830731,1.605286099,0.417413655,-0.633552739,enroll_pct_of_uninsured2010,premium,1,0,0,0,3,0,0,1,0,2,0.784674224
kff16201124,kff16_aca,ACA,MI,2016,MI_2016_ACA,1,D,0,0.132572369,1.160965887,0.880162696,-0.988741508,enroll_pct_of_uninsured2010,premium,1,0,0,0,3,0,1,1,1,2,0.578181007
kff16201132,kff16_aca,ACA,VA,2016,VA_2016_ACA,1,D,2,1.093710582,0.864752412,1.332597673,-0.471106839,enroll_pct_of_uninsured2010,premium,1,1,1,1,1,1,0,0,1,2,0.805323546
kff16201138,kff16_aca,ACA,KY,2016,KY_2016_ACA,1,D,1,-0.938150625,1.151709216,0.145311748,-0.386992882,enroll_pct_of_uninsured2010,premium,3,1,0,0,3,1,0,0,0,1,2.415970638
kff16201149,kff16_aca,ACA,NV,2016,NV_2016_ACA,1,D,0,-0.928721778,0.920292438,-0.005735579,0.559495395,enroll_pct_of_uninsured2010,premium,3,1,0,0,3,1,0,0,0,1,1.765517005
kff16201155,kff16_aca,ACA,FL,2016,FL_2016_ACA,1,D,0,1.310260077,0.911035767,1.511437123,-1.236817534,enroll_pct_of_uninsured2010,premium,1,0,0,0,2,0,1,1,1,2,0.464609738
kff16201156,kff16_aca,ACA,NH,2016,NH_2016_ACA,0,D,2,0.844020552,1.142452545,1.351656596,-0.210468632,enroll_pct_of_uninsured2010,premium,1,1,1,1,1,1,0,1,1,3,0.268441182
kff16201161,kff16_aca,ACA,WV,2016,WV_2016_ACA,1,D,2,-0.97352458,0.244555448,-0.496012726,-0.117225286,enroll_pct_of_uninsured2010,premium,3,0,1,0,3,0,0,1,0,2,0.908570155
kff16201172,kff16_aca,ACA,WV,2016,WV_2016_ACA,0,D,2,-0.97352458,0.244555448,-0.496012726,-0.117225286,enroll_pct_of_uninsured2010,premium,3,0,1,0,3,0,0,1,0,3,0.846622189
kff16201183,kff16_aca,ACA,NM,2016,NM_2016_ACA,1,D,1,-0.991830731,1.605286099,0.417413655,-0.633552739,enroll_pct_of_uninsured2010,premium,3,1,0,0,2,1,0,1,0,2,1.651945736
kff16201184,kff16_aca,ACA,ID,2016,ID_2016_ACA,1,D,0,0.7416814,0.93880578,1.143454491,NA,enroll_pct_of_uninsured2010,premium,1,0,0,0,2,1,0,1,1,3,0.805323546
kff16201185,kff16_aca,ACA,ID,2016,ID_2016_ACA,0,D,0,0.7416814,0.93880578,1.143454491,NA,enroll_pct_of_uninsured2010,premium,1,0,0,0,1,1,0,0,1,2,1.156362015
kff16201188,kff16_aca,ACA,CO,2016,CO_2016_ACA,1,D,2,-0.588169705,0.725902345,0.09371747,0.884699705,enroll_pct_of_uninsured2010,premium,1,1,1,1,2,0,0,1,0,1,1.166686676
kff16201193,kff16_aca,ACA,CO,2016,CO_2016_ACA,1,D,2,-0.588169705,0.725902345,0.09371747,0.884699705,enroll_pct_of_uninsured2010,premium,1,1,1,1,2,1,0,1,0,2,1.693244379
kff16201196,kff16_aca,ACA,MT,2016,MT_2016_ACA,1,D,2,0.567147151,0.587052279,0.785352329,0.91473824,enroll_pct_of_uninsured2010,premium,1,1,1,1,2,0,0,1,0,3,2.095906152
kff16201200,kff16_aca,ACA,WA,2016,WA_2016_ACA,1,D,2,-0.428100678,1.281302611,0.580544495,-0.806315154,enroll_pct_of_uninsured2010,premium,1,1,1,1,2,1,0,1,0,3,0.454285077
kff16201201,kff16_aca,ACA,CO,2016,CO_2016_ACA,1,D,2,-0.588169705,0.725902345,0.09371747,0.884699705,enroll_pct_of_uninsured2010,premium,1,1,1,1,1,0,0,0,1,2,0.48525906
kff16201205,kff16_aca,ACA,KY,2016,KY_2016_ACA,1,D,1,-0.938150625,1.151709216,0.145311748,-0.386992882,enroll_pct_of_uninsured2010,premium,1,0,0,0,1,0,0,1,0,2,2.415970638
kff16201207,kff16_aca,ACA,WV,2016,WV_2016_ACA,0,D,2,-0.97352458,0.244555448,-0.496012726,-0.117225286,enroll_pct_of_uninsured2010,premium,3,0,1,0,3,1,0,1,0,3,1.486751162
kff16201217,kff16_aca,ACA,ID,2016,ID_2016_ACA,0,D,0,0.7416814,0.93880578,1.143454491,NA,enroll_pct_of_uninsured2010,premium,3,1,0,0,2,1,0,1,1,2,0.702076938
kff16201218,kff16_aca,ACA,NH,2016,NH_2016_ACA,0,D,2,0.844020552,1.142452545,1.351656596,-0.210468632,enroll_pct_of_uninsured2010,premium,NA,NA,1,NA,1,1,0,0,1,1,0.867271511
kff16201219,kff16_aca,ACA,SC,2016,SC_2016_ACA,0,D,0,0.171257937,0.781442372,0.64824621,0.402181347,enroll_pct_of_uninsured2010,premium,3,1,0,0,3,1,0,0,1,2,0.815648207
kff16201226,kff16_aca,ACA,SC,2016,SC_2016_ACA,0,D,0,0.171257937,0.781442372,0.64824621,0.402181347,enroll_pct_of_uninsured2010,premium,3,1,0,0,3,1,0,0,0,2,2.415970638
kff16201227,kff16_aca,ACA,OR,2016,OR_2016_ACA,0,D,3,-0.325605362,1.031372491,0.480225379,-0.353127875,enroll_pct_of_uninsured2010,premium,1,1,1,1,2,0,0,1,1,2,0.578181007
kff16201229,kff16_aca,ACA,WA,2016,WA_2016_ACA,0,D,2,-0.428100678,1.281302611,0.580544495,-0.806315154,enroll_pct_of_uninsured2010,premium,3,0,1,0,3,1,0,0,1,2,0.340713808
kff16201232,kff16_aca,ACA,KY,2016,KY_2016_ACA,1,D,1,-0.938150625,1.151709216,0.145311748,-0.386992882,enroll_pct_of_uninsured2010,premium,2,0,0,0,1,0,1,0,0,2,1.207985319
